,name,folder,title,warnings,mean_h,mean_s,mean_v,h1,h2,h3,h4,h5,blobs_log,blobs_dog,blobs_doh,class,time,date
0,72min.jpg,30-06-23_positive2,30-06-23_positive2\72min.jpg,,0.2101196487305199,0.9002176611495688,0.0869759605385919,0.6821825396825397,0.2421825396825397,0.0709126984126984,0.0039285714285714,0.0007936507936507,0,0,0,positive,72,30-06-23
1,75min.jpg,30-06-23_positive2,30-06-23_positive2\75min.jpg,,0.1811495784808475,0.9012413040164752,0.0929299358104849,0.6232142857142857,0.270515873015873,0.091031746031746,0.0138095238095238,0.0014285714285714,0,0,0,positive,75,30-06-23
2,111min.jpg,30-06-23_positive2,30-06-23_positive2\111min.jpg,,0.2098659163638989,0.8967453040422871,0.1463550284196638,0.6475,0.2407142857142857,0.0935714285714285,0.0157539682539682,0.0024603174603174,0,0,0,positive,111,30-06-23
3,120min.jpg,30-06-23_positive2,30-06-23_positive2\120min.jpg,,0.1410083887235554,0.8986216918337177,0.1082725703374229,0.6224603174603175,0.2430555555555555,0.107063492063492,0.025515873015873,0.0019047619047619,0,0,0,positive,120,30-06-23
4,10min.jpg,30-06-23_positive2,30-06-23_positive2\10min.jpg,flare,0.0772125583713685,0.9036743729640656,0.0963789544188974,0.3123809523809523,0.4516269841269841,0.1826190476190476,0.0473809523809523,0.0059920634920634,0,0,0,positive,10,30-06-23
5,102min.jpg,30-06-23_positive2,30-06-23_positive2\102min.jpg,,0.2195208568845504,0.8963122251952531,0.1476498833805042,0.6420238095238096,0.24,0.0997222222222222,0.0148412698412698,0.0034126984126984,0,0,0,positive,102,30-06-23
6,117min.jpg,30-06-23_positive2,30-06-23_positive2\117min.jpg,,0.1335071872693166,0.8966259173750099,0.1531245969593294,0.6120238095238095,0.2451984126984127,0.1159920634920635,0.022579365079365,0.0042063492063492,0,0,0,positive,117,30-06-23
7,105min.jpg,30-06-23_positive2,30-06-23_positive2\105min.jpg,,0.1834184777853306,0.901554179127004,0.1516117242368584,0.6367063492063492,0.2390873015873016,0.0996825396825396,0.0207142857142857,0.0038095238095238,0,0,0,positive,105,30-06-23
8,63min.jpg,30-06-23_positive2,30-06-23_positive2\63min.jpg,,0.1231631315032146,0.8880584569861452,0.0875362952149156,0.6782142857142858,0.2516666666666666,0.0609920634920634,0.0086507936507936,0.0004761904761904,0,0,0,positive,63,30-06-23
9,114min.jpg,30-06-23_positive2,30-06-23_positive2\114min.jpg,,0.1895299084855541,0.8941657390232874,0.154465304432437,0.630515873015873,0.243015873015873,0.1021825396825396,0.022063492063492,0.0022222222222222,0,0,0,positive,114,30-06-23
10,13min.jpg,30-06-23_positive2,30-06-23_positive2\13min.jpg,flare,0.0884448391730769,0.910870635480407,0.0974783702756901,0.4353174603174603,0.4418650793650793,0.1078571428571428,0.0136111111111111,0.0013492063492063,0,0,0,positive,13,30-06-23
11,69min.jpg,30-06-23_positive2,30-06-23_positive2\69min.jpg,,0.2297169611798822,0.8953918260389009,0.0869125404266652,0.6774603174603174,0.2383333333333333,0.0735714285714285,0.0091666666666666,0.0014682539682539,0,0,0,positive,69,30-06-23
12,66min.jpg,30-06-23_positive2,30-06-23_positive2\66min.jpg,,0.220259116771845,0.8862335876353848,0.082685906034987,0.6313492063492063,0.2504761904761904,0.0986507936507936,0.0173412698412698,0.0021825396825396,0,0,0,positive,66,30-06-23
13,93min.jpg,30-06-23_positive2,30-06-23_positive2\93min.jpg,,0.1796294685804621,0.8992350943068269,0.1393811128961908,0.6226190476190476,0.2316269841269841,0.1124206349206349,0.0269841269841269,0.0063492063492063,0,0,0,positive,93,30-06-23
14,99min.jpg,30-06-23_positive2,30-06-23_positive2\99min.jpg,,0.1969096825734687,0.8968860808501767,0.1488138472603849,0.6393253968253968,0.2405555555555555,0.0978571428571428,0.0194841269841269,0.0027777777777777,0,0,0,positive,99,30-06-23
15,87min.jpg,30-06-23_positive2,30-06-23_positive2\87min.jpg,,0.1790439832634148,0.8983858036461615,0.0977097412493491,0.6593253968253968,0.2525396825396825,0.0761507936507936,0.0106746031746031,0.0013095238095238,0,0,0,positive,87,30-06-23
16,81min.jpg,30-06-23_positive2,30-06-23_positive2\81min.jpg,,0.221203891473566,0.892578659299511,0.0982983163573325,0.6700396825396825,0.2373809523809524,0.079563492063492,0.0115079365079365,0.0015079365079365,0,0,0,positive,81,30-06-23
17,78min.jpg,30-06-23_positive2,30-06-23_positive2\78min.jpg,,0.1991816801967611,0.8934506028254469,0.0939162044700587,0.6936904761904762,0.2454761904761905,0.0550396825396825,0.0051587301587301,0.0006349206349206,0,0,0,positive,78,30-06-23
18,90min.jpg,30-06-23_positive2,30-06-23_positive2\90min.jpg,,0.1890496055152059,0.8905478714403434,0.1375317969986398,0.6555952380952381,0.2426190476190476,0.0816269841269841,0.0177777777777777,0.0023809523809523,0,0,0,positive,90,30-06-23
19,32min.jpg,30-06-23_positive2,30-06-23_positive2\32min.jpg,,0.1344908069238719,0.9025677837078429,0.0909648780144831,0.6882142857142857,0.274047619047619,0.0347222222222222,0.0026587301587301,0.0003571428571428,0,0,0,positive,32,30-06-23
20,20min.jpg,30-06-23_positive2,30-06-23_positive2\20min.jpg,,0.1040041559859058,0.9058974359915776,0.0936916004497312,0.6397619047619048,0.2936904761904761,0.0587698412698412,0.0072222222222222,0.0005555555555555,0,0,0,positive,20,30-06-23
